PARENT_IN_ZONE_MIN_MAP_DIST,CODEV_OUT_ZONE_MIN_HYPOT,CODEV_1050_WELL_COUNT,Pressure Gradient (psi/ft) new,Avg Pump Difference
888.0,340.0,0,0.593758088,-0.93
888.0,340.0,0,0.597058903,-8.45
2716.5,265.0,6,0.516873265,8.7
537.0,1942.0,1,0.501287232,42.96
1823.0,627.0,2,0.503327426,19.93
2763.0,1880.0,0,0.565199923,-4.34
1276.0,263.0,2,0.561294383,0.54
792.0,1551.5,1,0.493533848,66.52
1010.0,2528.0,0,0.56011052,3.39
2746.0,1384.0,2,0.540762005,13.78
2746.0,1384.0,2,0.523597524,56.25
2746.0,1384.0,2,0.519705507,65.88
2727.0,447.0,5,0.519913983,75.57
2727.0,447.0,5,0.532913717,43.66
2727.0,447.0,5,0.523556027,66.63
2746.0,1384.0,2,0.477080938,80.58
2746.0,1384.0,2,0.472648666,92.39
2746.0,1384.0,2,0.526571643,42.91
2746.0,1384.0,2,0.54173063,5.23
2746.0,1384.0,2,0.527903284,39.6
894.0,1350.0,1,0.548908027,-1.48
1268.0,2528.0,1,0.548135939,1.96
710.0,2882.0,1,0.538487713,24.21
2779.0,411.0,0,0.559608477,-0.16
1823.0,627.0,2,0.5486065124999999,6.03
1051.5,439.0,0,0.561943033,-5.8
2779.0,411.0,0,0.556785485,6.66
610.0,657.0,1,0.453435,117.26
610.0,657.0,1,0.480570763,43.38
610.0,657.0,1,0.489194852,80.32000000000001
2746.0,1384.0,2,0.563370555,-1.7
2746.0,1384.0,2,0.563603648,-2.26
2746.0,1384.0,2,0.563778467,-2.68
610.0,657.0,1,0.496985182,-1.31
610.0,657.0,1,0.560853528,22.29
610.0,657.0,1,0.495762089,2.02
610.0,657.0,1,0.497091697,-1.6
610.0,657.0,1,0.55510365,35.92
2716.5,411.0,3,0.575120123,5.66
1352.0,2528.0,1,0.493067694,22.17
2716.5,411.0,3,0.577162336,1.4300000000000002
1352.0,2528.0,1,0.493275362,21.61
2000.0,2489.0,2,0.490279015,29.69
2563.0,475.0,1,0.535544531,16.52
1373.0,321.0,2,0.566905359,-2.68
2501.0,475.0,1,0.531457553,26.71
2501.0,475.0,1,0.528397333,34.34
734.0,624.0,2,0.599503194,-0.74
700.0,555.0,1,0.537465379,8.38
700.0,555.0,1,0.528623678,30.48
2618.0,305.0,2,0.562309728,13.185
700.0,555.0,1,0.529695884,27.8
700.0,555.0,1,0.528340498,-3.75
2779.0,581.0,2,0.578119357,-1.36
2622.0,2184.5,0,0.578508146,-2.27
2622.0,2184.5,0,0.574338272,7.49
734.0,624.0,2,0.543487253,11.63
1823.0,627.0,2,0.538644008,-2.38
734.0,624.0,2,0.535104953,33.8
700.0,555.0,1,0.5329029385,-1.2
2142.5,371.0,0,0.560550671,1.58
2142.5,371.0,0,0.561165108,0.1
2746.0,1384.0,2,0.557316247,2.87
2746.0,1384.0,2,0.536369705,6.98
2746.0,1384.0,2,0.53899411,0.4
2746.0,1384.0,2,0.515083309,60.35
888.0,340.0,4,0.547561566,26.48
1892.0,461.0,4,0.548127593,25.11
734.0,624.0,2,0.55091589,22.57
1059.0,475.0,0,0.500517285,24.645
2781.0,1187.5,0,0.499729856,57.13
1059.0,475.0,0,0.512255381,24.68
734.0,624.0,2,0.562230068,-0.46
1276.0,659.0,2,0.492984227,49.95
734.0,624.0,2,0.562928571,13.185
734.0,624.0,2,0.554517436,18.09
734.0,624.0,2,0.553024696,26.83
1276.0,659.0,2,0.490793908,72.63
2356.0,375.0,1,0.57073975,5.73
756.0,635.0,3,0.570989915,5.14
1155.0,263.0,1,0.518512647,1.47
1155.0,263.0,1,0.485850131,86.53
1155.0,263.0,1,0.504243436,38.63
1698.0,2571.0,0,0.486643219,9.41
1698.0,2571.0,0,0.488415961,4.52
1606.0,340.0,2,0.484584082,15.09
734.0,624.0,2,0.503955815,25.29
734.0,624.0,2,0.501580903,29.13
1513.5,646.0,2,0.498599038,29.48
2746.0,1384.0,2,0.514748458,13.205
2746.0,1384.0,2,0.511444884,12.63
772.0,2508.5,0,0.517879525,102.51
772.0,2508.5,0,0.52494356,92.25
2746.0,657.0,1,0.513847136,6.34
2746.0,657.0,1,0.513912062,6.17
1208.0,1384.0,2,0.505226105,7.24
2746.0,1384.0,1,0.509502253,-4.14
610.0,1384.0,1,0.497921332,26.68
2793.0,575.0,4,0.554482208,0.67
2716.5,411.0,0,0.555906257,-2.8
2716.5,411.0,0,0.532132444,55.13
2716.5,492.0,4,0.562450063,1.51
1707.0,657.0,5,0.485013292,33.77
2142.5,370.0,5,0.553742583,18.72
990.0,278.0,4,0.502013393,-0.55
1582.0,1957.0,1,0.492152253,14.37
1597.0,372.0,7,0.542547808,45.67
1901.0,475.0,1,0.501979983,-0.46
1887.0,1187.5,1,0.488976519,23.0
1171.5,484.0,5,0.498518451,11.92
734.0,624.0,2,0.544308289,0.89
2081.0,266.0,1,0.522708084,-2.13
610.0,657.0,1,0.551499235,-1.45
610.0,657.0,1,0.551572593,-1.63
734.0,624.0,2,0.544566161,0.25
734.0,624.0,2,0.595283831,3.63
2081.0,266.0,1,0.517916936,10.28
734.0,624.0,2,0.537945825,15.66
610.0,657.0,1,0.534394724,40.52
974.0,475.0,1,0.591149071,5.25
2207.0,365.0,2,0.510718973,-5.71
974.0,475.0,1,0.583672645,22.28
2746.0,1384.0,2,0.511177664,81.66
1811.0,264.0,2,0.510585209,1.55
35.0,410.0,5,0.588176939,26.165
2746.0,1384.0,2,0.515657072,70.53
1348.0,2207.0,0,0.508119701,8.07
610.0,657.0,1,0.574264328,0.85
2746.0,1384.0,2,0.518816402,62.68
610.0,657.0,1,0.574251575,0.88
1217.0,852.0,2,0.606818415,2.315
836.0,242.0,3,0.60038708,11.23
2779.0,541.0,3,0.502460988,58.05
1778.0,682.0,4,0.498918962,67.17
1487.0,371.0,1,0.58533376,-1.91
704.0,475.0,1,0.582275356,-0.13
1946.5,296.5,0,0.539171012,29.05
734.0,475.0,0,0.537471243,33.22
2207.0,352.0,5,0.574183679,-3.13
1465.0,597.0,5,0.552795941,14.06
1914.0,657.0,0,0.482264741,52.38
1619.0,299.0,3,0.573094568,-0.56
1914.0,657.0,0,0.497507574,11.31
1465.0,597.0,5,0.556864871,11.7
636.0,371.0,1,0.548505379,3.86
636.0,371.0,1,0.546938715,7.71
2716.5,411.0,3,0.606314397,-2.47
2716.5,411.0,3,0.605526426,-0.71
636.0,371.0,1,0.545013956,12.44
1228.0,843.0,2,0.577359106,5.27
2654.0,485.0,3,0.561498688,-7.0
734.0,624.0,2,0.494821106,5.71
734.0,624.0,2,0.493016176,10.62
734.0,624.0,2,0.490681897,16.97
695.0,544.0,3,0.543280909,59.23
2793.0,424.0,5,0.573436957,4.26
2610.0,475.0,0,0.541161144,5.1
1415.0,1391.0,0,0.538356253,12.08
1415.0,1391.0,0,0.526220478,42.28
1042.0,1032.0,2,0.505115363,20.89
2793.0,424.0,5,0.578302868,6.69
1201.0,491.0,2,0.476753042,95.62
1042.0,1032.0,2,0.484795295,74.43
2820.0,626.0,3,0.508894243,19.04
2258.0,402.0,3,0.508172567,20.93
734.0,624.0,2,0.574648808,18.53
610.0,657.0,4,0.552904246,-6.95
610.0,657.0,4,0.544716692,19.72
2746.0,1384.0,2,0.564166454,8.31
888.0,340.0,0,0.51058827,21.04
888.0,340.0,0,0.510739265,21.98
2746.0,1384.0,2,0.565191085,5.87
888.0,340.0,0,0.513880965,13.8
2746.0,1384.0,2,0.552118641,37.0
1341.0,475.0,0,0.566522913,15.19
1038.0,475.0,0,0.564823254,19.2
1633.0,1800.0,0,0.556693708,38.38
1763.5,475.0,0,0.547718405,19.4
1863.0,475.0,0,0.547870505,19.03
1863.0,475.0,0,0.540836906,36.14
1778.0,682.0,4,0.502990114,28.1
1778.0,682.0,4,0.501865337,31.06
782.0,696.0,1,0.492131695,33.72
1778.0,682.0,4,0.511532341,5.62
782.0,696.0,1,0.497056503,20.53
1142.0,1187.5,0,0.543612617,23.17
1537.0,657.0,1,0.49593638,23.53
987.0,1891.0,1,0.523895323,7.93
2326.0,519.0,4,0.505867641,28.3
1142.0,1187.5,0,0.527585923,62.34
2326.0,519.0,4,0.500726729,41.75
1499.0,1957.0,1,0.606521422,-0.84
1427.5,733.5,0,0.605544059,2.96
1427.5,733.5,0,0.607815705,-2.1
871.0,1142.0,0,0.501028289,34.33
1887.0,1187.5,1,0.49727883,43.13
2081.0,276.0,4,0.505299059,23.1
1887.0,1187.5,1,0.498487205,39.95
1806.5,550.5,0,0.510961728,8.21
2326.0,519.0,1,0.509494796,16.66
1446.0,264.0,1,0.517438798,17.37
2207.0,263.0,2,0.50589623,26.09
2326.0,519.0,1,0.504449934,29.88
1763.5,260.0,1,0.5194272,13.57
1763.5,261.0,1,0.512809254,30.62
1241.5,1187.5,0,0.638137019,0.54
1868.5,290.0,3,0.551270714,6.73
1868.5,290.0,3,0.550057558,9.69
1868.5,290.0,3,0.551594496,5.94
888.0,340.0,0,0.590354319,23.36
2618.0,305.0,2,0.558825852,-1.54
610.0,678.0,1,0.55975494,22.880000000000003
888.0,340.0,0,0.569098586,71.19
1453.0,1267.0,1,0.562170569,-9.64
1122.0,2528.0,1,0.512544035,19.15
2121.0,2528.0,2,0.509913306,25.99
2746.0,1384.0,2,0.524243429,46.45
2746.0,1384.0,2,0.530247589,31.5
2121.0,2528.0,2,0.512578649,19.06
2746.0,1384.0,2,0.526536657,40.74
1217.0,852.0,2,0.553714195,3.3
2207.0,1957.0,0,0.553825062,3.03
1217.0,852.0,2,0.544886397,24.55
1522.0,2084.0,1,0.528092002,-3.38
2385.0,475.0,0,0.520048796,22.51
1863.0,1354.0,0,0.517761364,23.13
1042.0,1032.0,2,0.508810297,30.18
1201.0,491.0,2,0.520791318,48.86
1201.0,491.0,2,0.519620935,2.1
765.0,540.0,2,0.56397171,-4.9
765.0,540.0,2,0.544779338,35.91
765.0,540.0,2,0.547460172,34.82
2779.0,581.0,2,0.550263215,13.46
1633.0,475.0,1,0.551107734,13.66
1946.0,586.0,4,0.565343624,5.26
2779.0,581.0,2,0.557698293,14.4
2749.0,3549.0,0,0.544007427,30.9
1042.0,1032.0,2,0.560683247,16.36
1204.0,611.0,2,0.558569017,14.04
1633.0,475.0,1,0.555160345,3.82
768.0,2528.0,0,0.52886577,24.77
768.0,2528.0,0,0.526422733,30.9
768.0,2528.0,0,0.525669496,32.79
2481.0,480.0,3,0.528055601,3.9
2481.0,480.0,3,0.532353541,-12.43
2481.0,480.0,3,0.520780505,22.47
1012.0,351.0,4,0.483027875,-7.45
888.0,340.0,4,0.482359784,-5.57
1348.0,629.0,3,0.558724894,30.95
999.0,482.0,2,0.523538231,-4.01
1348.0,629.0,3,0.556859425,35.36
999.0,482.0,2,0.51916722,5.7
999.0,482.0,2,0.516043157,13.8
1778.0,657.0,4,0.500457436,44.56
1778.0,682.0,4,0.498732522,35.84
2779.0,541.0,3,0.500610571,44.16
1778.0,682.0,4,0.497489429,40.2
2716.5,411.0,3,0.60044287,-7.58
610.0,657.0,1,0.596281978,1.84
2779.0,541.0,3,0.508244392,24.22
1286.0,593.0,2,0.521181337,27.43
614.0,432.0,2,0.555684381,4.31
1085.0,433.0,0,0.556269245,0.37
1401.0,448.0,1,0.55463923,4.33
1018.0,2528.0,0,0.521035728,27.8
1018.0,2528.0,0,0.499371573,82.85
1348.0,708.0,2,0.546975982,1.49
1348.0,708.0,2,0.54542858,5.31
1348.0,708.0,2,0.544233598,8.26
888.0,340.0,0,0.497453144,44.26
1215.0,538.0,4,0.557633447,24.84
888.0,340.0,0,0.493733708,62.9
888.0,340.0,0,0.489859281,64.22
888.0,340.0,0,0.505681674,31.71
888.0,340.0,0,0.502375776,40.34
888.0,340.0,0,0.488599978,67.53
1593.0,505.0,5,0.573803395,4.13
1593.0,505.0,5,0.568451351,16.7
1593.0,505.0,5,0.556052662,45.82
772.0,1373.5,0,0.555890747,21.19
938.0,684.0,2,0.513621806,6.93
772.0,1373.5,0,0.569606335,-11.64
593.0,857.0,1,0.480995633,89.05
1801.0,475.0,2,0.534897499,71.44
1665.0,1957.0,1,0.505849813,27.28
2578.0,462.0,5,0.499112812,44.92
593.0,857.0,1,0.501386052,35.52
2481.0,480.0,3,0.522166364,53.86
2746.0,1384.0,2,0.530085303,22.48
2746.0,1384.0,2,0.524909284,35.46
2746.0,1384.0,2,0.531855836,18.04
1593.0,602.0,4,0.49136987,-4.78
1260.5,678.0,2,0.470620779,48.35
1593.0,602.0,4,0.468503159,58.35
1260.5,678.0,2,0.47359954,40.1
1593.0,602.0,4,0.484089323,15.32
2481.0,480.0,3,0.528331752,6.63
1064.0,351.0,4,0.527794988,55.0
1260.5,678.0,2,0.469866159,50.44
1064.0,351.0,4,0.520210586,69.27
1064.0,351.0,4,0.542580394,14.12
534.0,475.0,1,0.567692327,49.09
159.0,475.0,1,0.577057303,27.6
311.0,475.0,1,0.580499989,19.7
610.0,657.0,1,0.567118068,7.44
1011.0,2267.0,1,0.507677464,58.71
2570.0,275.0,4,0.51518029,39.6
1426.0,417.0,1,0.504823171,65.98
928.0,526.0,3,0.497105243,24.23
734.0,258.0,5,0.566336185,5.61
734.0,258.0,5,0.575894236,-10.63
1064.0,522.0,4,0.491919087,38.08
610.0,657.0,1,0.574595356,0.865
2779.0,541.0,3,0.496947973,24.65
610.0,657.0,1,0.551499067,13.46
1453.0,1267.0,1,0.558487803,3.55
877.0,510.0,2,0.523480475,2.86
878.0,345.0,5,0.56427,-12.69
878.0,345.0,5,0.568211579,-6.8
878.0,345.0,5,0.551652783,17.82
1453.0,1267.0,1,0.557116681,6.86
878.0,345.0,5,0.564321968,2.5
878.0,345.0,5,0.558141283,2.13
282.0,599.5,1,0.51261445,30.86
878.0,345.0,5,0.565693788,-0.78
610.0,657.0,1,0.552479532,24.22
610.0,678.0,1,0.557613765,5.66
2793.0,375.0,7,0.526523549,2.51
610.0,657.0,1,0.554235728,20.0
2793.0,375.0,7,0.525489448,5.16
2793.0,375.0,7,0.512830484,37.6
1225.0,1187.5,0,0.545678801,24.61
1225.0,1187.5,0,0.550209764,13.59
921.0,609.0,3,0.520696448,10.3
921.0,609.0,3,0.495240451,75.63
921.0,609.0,3,0.50039624,62.6
610.0,657.0,1,0.617175215,9.185
2746.0,1384.0,2,0.541321313,5.99
610.0,657.0,1,0.611224011,5.31
2746.0,1384.0,2,0.541566674,5.38
1348.0,629.0,3,0.56853128,4.09
1348.0,629.0,3,0.554243067,37.96
990.0,349.0,2,0.479939912,75.84
933.0,411.0,2,0.477837264,81.43
1508.0,296.5,1,0.512639804,68.21
1946.5,624.0,0,0.530874004,29.18
1348.0,708.0,1,0.478153225,80.59
2385.0,2571.0,0,0.530376286,30.42
